"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"11";"15585223D";"15-A-081-00000003";"LOPEZ GARIN JESUS";"SARNABIAGA";"X";"AYEGUI/AIEGI";"Ayegui/Aiegi";"Navarra";"0";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"12";"B71092001";"15-A-081-00053578";"ASFALTOS DEL EBRO SL";"ASFALTOS DEL EBRO - CANTERA ANDOSILLA - PLANTA ASFALTICA";"CR ESTELLA-ANDOSILLA NA-8715 KM2 ";"ANDOSILLA";"Andosilla";"Navarra";"31261";;;;;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"13";"B31282254";"15-A-081-00000067";"CANTERAS DE OSKIA SL";"OSKIA";"PARAJE DE OSKIA";"ARAKIL";"Errotz";"Navarra";"31868";"948500050";"roberto@grupoberiain.com";"948500050";;"8.11";"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra";;
"14";"A31265697";"15-A-081-00000230";"HORMIGONES DELFIN SA";"HORMIGONES DELFIN, S.A.-GRAVERA SOTO MAÑERU";"Gravera ""Soto Mañeru""";"FUNES";"Funes";"Navarra";"31360";"948713146";"mail@nodisponible.es";"948753141";;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"15";"P3148100E";"15-A-081-00016010";"CONCEJO DE GUEMBE";"EXPLOTACION DE GRAVA LA CASCAJERA";"LA CASCAJERA  ";"GUESÁLAZ/GESALATZ";"Guembe";"Navarra";"31176";;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"16";"A31205305";"15-A-081-00000318";"EUROASFALTOS DE NAVARRA SA";"LA CANTERA";"LA CANTERA PG 3";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948446255";;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"17";"B31381031";"15-A-081-00052915";"EXCAVACIONES PATRICIO LIZARRAGA SL";"GRAVERA SANTA LUZIA";"SANTA LUZIA  ";"UHARTE-ARAKIL";"Uharte-Arakil";"Navarra";"31840";;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"18";"A31205305";"15-A-081-00000247";"EUROASFALTOS DE NAVARRA SA";"EL PLANO";"POLIGONO 2 PARC. 697 ";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948446255";;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"19";"G50991991";"15-A-081-00052241";"UTE CANAL DE NAVARRA";"SARATSUA";"POLIGONO 3, PARCELA 5  ";"MURUZÁBAL";"Muruzábal";"Navarra";"31152";;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"20";"B26270702";"15-A-081-00052334";"CANTERAS Y ARIDOS DE VILLAMEDIANA SL";"GRAVERA ""RUBIO DE ABAJO""";"RUBIO DE ABAJO Y LA ULAGA  ";"MENDAVIA";"Mendavia";"Navarra";"31587";;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"21";"A26016188";"15-A-081-00051514";"HORMIGONES CANTABRIA ARIDOS LOGROÑO SA";"RUBIO DE ARRIBA";"RUBIO DE ARRIBA  ";"MENDAVIA";"Mendavia";"Navarra";"31587";;;;;"8.12";"Extracción de gravas y arenas: extracción de arcilla y caolín";;
"22";"A31162506";"15-A-089-00000300";"POTASAS DE SUBIZA SA";"POTASAS DE SUBIZA SA";"CTRA CAMPANAS SN";"GALAR";"Arlegui";"Navarra";"31191";;;;;"8.91";"Extracción de minerales para productos químicos y fertilizantes";;
"23";"A31162506";"15-A-089-00000018";"POTASAS DE SUBIZA SA";"NTRA. SRA. PERDON";"CARRETERA SALINAS s/n";"BERIÁIN";"Beriáin";"Navarra";"31191";"948000000";"nodispone@nodispones.es";;;"8.91";"Extracción de minerales para productos químicos y fertilizantes";;
"24";"B31776107";"15-A-103-00051204";"CULTIVOS Y TRANSFORMADOS CORELLA SL";"CULTIVOS Y TRANSFORMADOS CORELLA, S.L";"PG. LAS ABUELAS";"CASCANTE";"Cascante";"Navarra";"31520";"948781060";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"25";"B01291962";"15-A-107-00052080";"EXPORTADORA DE ALIMENTOS RIBERA DEL EBRO SL";"EXPORTADORA DE ALIMENTOS RIBERA DEL EBRO";"PG. IND. 60";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948670680";;"948670681";;"10.71";"Fabricación de pan y de productos frescos de panadería y pastelería";;
"26";"B31671381";"15-A-131-00050277";"AUXILIAR TEXTIL DE LESAKA SL UNIPERSONAL";"AUXILIAR TEXTIL DE LESAKA S.L. UNIPERSONAL";"CL BITTIRIA 71-BAJO";"LESAKA";"Lesaka";"Navarra";"31770";"948637597";;;;"13.1";"Preparación e hilado de fibras textiles";;
"27";"A31101330";"15-A-132-00010416";"TAVAMO SA";"TAVAMO, SA";"AVDA. BAJA NAVARRA, 2";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"13.2";"Fabricación de tejidos textiles";;
"28";"A31040264";"15-A-132-00007877";"ENIA CARPETS IBERICA SA";"ENIA TECSOM REVESTIMINETOS, S.A.";"CTRA. DE GUIPUZCOA, KM. 5,5";"BERRIOZAR";"Berriozar";"Navarra";"31013";"948303071";;"948302366";;"13.2";"Fabricación de tejidos textiles";;
"29";"A31142557";"15-A-132-00011727";"GALARREGUI E HIJOS SA";"GALARREGUI E HIJOS SA";"P I SPI NAVE 6,2";"VILLAVA/ATARRABIA";"Villava/Atarrabia";"Navarra";"31610";;;;;"13.2";"Fabricación de tejidos textiles";;
"30";"74559288G";"15-A-133-00010464";"BURGOS MORENO MARIA ALMUDENA";"BURGOS MORENO, M ALMUDENA";"HNOS. NOAIN- UD. 1-6 NA";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"13.3";"Acabado de textiles";;
"31";"A31587405";"15-A-133-00014049";"IRUÑA SERIGRAFIA, S.A.";"IRUÑA SERIGRAFIA, S.A.";"PG IND MUTILVA BAJA CL R N 71";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948153910";;"948154047";;"13.3";"Acabado de textiles";;
"32";"B31637648";"15-A-133-00014099";"BOREX LOOK 2000 SL";"BOREX LOOK 2000, S.L.";"GENERAL FRANCO, 21";"MILAGRO";"Milagro";"Navarra";"31320";"948844200";;"948844200";;"13.3";"Acabado de textiles";;
"33";"B31672975";"15-A-139-00014219";"MUTILVA GENEROS DE PUNTO SL";"MUTILVA GENEROS DE PUNTO S.L.";"PG IND CL G NAVE 6";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948291615";;;;"13.91";"Fabricación de tejidos de punto";;
"34";"B31186489";"15-A-139-00010575";"TEXTILES INDUCAM SL";"TEXTILES INDUCAM SL";"PG IND LOS AGUSTINOS CL E 14";"BERRIOPLANO";"Berrioplano/Berriobeiti";"Navarra";"31195";"948301761";"lorenzo@moshy.es";"948300188";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"35";"B31077746";"15-A-139-00007135";"TOLDOS Y TAPICERIA URCA SL";"TOLDOS Y TAPICERIAS URCA SL";"PG IND. MOREA NORTE NAVES 11 Y 12";"BERIÁIN";"Beriáin";"Navarra";"31191";"948312222";;"948312211";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"36";"B31440597";"15-A-139-00013811";"VISILLOS PERCOL SL";"PERCOL";"AV ZARAGOZA 65 B";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31005";"948233345";;;;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"37";"B31661010";"15-A-139-00050304";"ESPUMAS Y COMERCIO DE PAMPLONA SL";"ESPUMAS Y COMERCIO DE PAMPLONA S.L.";"CL ARTICA 40";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";"948142980";;"948144410";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"38";"B31592538";"15-A-139-00013565";"TOLDOS BAZTAN SL";"TOLDOS BAZTAN, S.L.";"PG ALKAIAGA CL BALDRUN 8";"LESAKA";"Lesaka";"Navarra";"31770";"929015923";;;;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"39";"E31576259";"15-A-139-00051208";"EZQUERRO HERNANDEZ FJ Y LS";"TOLDOS EZQUERRO, S.I";"CR. ESTELLA";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948670357";;;;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"40";"E31326382";"15-A-139-00011619";"MARTINEZ GRACIA JESUS Y LUIS";"MARTINEZ GRACIA, LUIS Y JESUS";"POL IND DE CANRASO";"TUDELA";"Tudela";"Navarra";"31500";;;;;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"41";"17432937H";"15-A-139-00012437";"ESTEBAN MUñOZ MARIANO JESUS";"MARIANO ESTEBAN MU-OZ";"DTOR. REPARAZ 2- 5¦D";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"42";"B31628506";"15-A-139-00050262";"TOLDOS IRUñA SL";"TOLDOS IRUÑA";"CL NOAIN PARCELA 2C -2.4";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Imárcoain";"Navarra";"31119";;;;;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"43";"E31646771";"15-A-139-00014329";"MARTINEZ LERIA MARIA GUADALUPE Y RAMON JAVIER";"HAFID - SERVICIOS TEXTILES";"AV NAVARRA 121";"LODOSA";"Lodosa";"Navarra";"31580";"948693735";;"948693735";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"44";"B31654981";"15-A-139-00014242";"TOLDOS BERRIAINZ SLL";"TOLDOS BERRIAINZ, S.L.L.";"P.I. BERRIAINZ CL C NAVE 93";"BERRIOZAR";"Berriozar";"Navarra";"31195";"948303037";;"948302780";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"45";"B31614530";"15-A-139-00014254";"PRODUCCIONES ARTESANAS TEJEDOR SL";"PAT";"PG IND MUTILVA BAJA";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948240766";;"948240766";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"46";"B31649643";"15-A-139-00009934";"CONFECCIONES OYARBIDE SANZ SL";"CONFECCIONES OYARBIDE SANZ S.L.";"PG MOREA SUR  40";"BERIÁIN";"Beriáin";"Navarra";"31191";"948310521";;"948310521";;"13.92";"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir";;
"47";"B31598626";"15-A-139-00013708";"MIKELVA SL";"MIKELVA, S.L.";"PZ SAN MIGUEL";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"317240";;;;"13.95";"Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir";;
"48";"B31263965";"15-A-139-00011446";"INDUSTRIAL BORDADORA ESTELLESA SL";"NURIA PESADO SL";"SAN GINES 12";"VILLATUERTA";"Legardeta";"Navarra";"31292";;;;;"13.96";"Fabricación de otros productos textiles de uso técnico e industrial";;
"49";"B31159734";"15-A-139-00009992";"ESTEPLA SL";"ESTEPLA S.A.";"AVDA. DE LA RIOJA 2";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Elorz/Elortz";"Navarra";"31470";;;;;"13.96";"Fabricación de otros productos textiles de uso técnico e industrial";;
"50";"B31864937";"15-A-139-00052496";"TROFEOS MANUALIDADES HERMANOS MARIN SL";"TROFEOS, MANUALIDADES HERMANOS MARIN S.L.";"PG INDUSTRIAL II C/C S/N";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948815640";;"948815638";;"13.99";"Fabricación de otros productos textiles no clasificado en otra parte";;
"51";"B31181506";"15-A-139-00011021";"ENMARCACIONES DE AOIZ SL";"ENMARCACIONES DE AOIZ ENDEA SL";"POLIG INDUST AOIZ SN";"AOIZ/AGOITZ";"Aoiz/Agoitz";"Navarra";"31430";;;;;"13.99";"Fabricación de otros productos textiles no clasificado en otra parte";;
"52";"15538722Z";"15-A-139-00013752";"PEREZ OSACAR FERNANDO";"PEREZ OSACAR, Fernando";"TR SOTO LEZKAIRU E IZDA";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31006";"948230388";;;;"13.99";"Fabricación de otros productos textiles no clasificado en otra parte";;
"53";"A31222979";"15-A-139-00010989";"TROFEOS CIMA SA";"TROFEOS CIMA SA";"PO IND BERRIAINZ 62";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"13.99";"Fabricación de otros productos textiles no clasificado en otra parte";;
"54";"F31196744";"15-A-141-00010935";"CONFECCIONES CABANILLAS SOCIEDAD COOPERATIVA LIMIT";"CONFECCIONES CABANILLAS S COOP LTDA";"CABALLEROS DE JERUSALEN";"CABANILLAS";"Cabanillas";"Navarra";"31511";;;;;"14.12";"Confección de ropa de trabajo";;
"55";"E31486350";"15-A-141-00012989";"BURGUI ARAMBURU MARTIN Y LIZASO ESNAOLA JOSE IGNACIO";"UBELAPLAS";"PG IND ZALAIN  ";"BERA";"Bera";"Navarra";"31780";"948631455";;;;"14.12";"Confección de ropa de trabajo";;
"56";"72690607G";"15-A-141-00052155";"SALCEDO PISTONO ALVARO TOMAS";"SALCEDO PISTONO, ALVARO TOMAS";"C/BERNARDINO TIRAPU 1, BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31014";"948382595";;"948382596";;"14.13";"Confección de otras prendas de vestir exteriores";;
"57";"B31705130";"15-A-141-00050493";"COSIDO INDUSTRIAL SERCO SL";"COSIDO INDUSTRIAL SERCO S.L.";"PG IND TALLUNTXE CL 68";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"58";"F31099419";"15-A-141-00008869";"INTECABA SCL";"INTECABA S COOPERATIVA";"SAN ROQUE 22";"CABANILLAS";"Cabanillas";"Navarra";"31511";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"59";"E31345259";"15-A-141-00012254";"MUNUCE LATORRE MARIA LUISA Y URBELZ FLAMARIQU JOS";"MUNUCE LATORRE MªL. Y  URBELZ FLAMARIQUE J";"GAYARRE, 8 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"60";"A31083710";"15-A-141-00005102";"SOCIEDAD FITERANA TEXTIL SA";"FITEX SAL";"CRTA TUDELA SN";"FITERO";"Fitero";"Navarra";"31593";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"61";"B31674187";"15-A-141-00010662";"SANTA ANA TEXTIL SLL";"SANTA ANA TEXTIL S.L.L.";"FRANCISCO UCAR GOLDESMIT 13";"TUDELA";"Tudela";"Navarra";"31500";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"62";"B31168248";"15-A-141-00010044";"CONFECCIONES DOBEN SL";"CONFECCIONES DOBEN S L";"CONCEJO DE AZPA,8";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"63";"A31071806";"15-A-141-00008216";"CONFECCIONES JASMAN SA";"EUROVESTIR, S.A.";"RONDA DE CAPARROSO S/N";"CAPARROSO";"Caparroso";"Navarra";"31380";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"64";"B31421902";"15-A-141-00009511";"CONFECCIONES BUSAL SL";"CONFECCIONES BUÑUEL SDAD COOP LTDA";"TERMINO EL MONTECILLO";"BUÑUEL";"Buñuel";"Navarra";"31540";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"65";"E31598204";"15-A-141-00013591";"SANDUCELAY S.I.";"CATALAN URMENETA,N. Y 11 MAS";"DR. GORTARI, 3 - TRASERA";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"131224";;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"66";"B31860810";"15-A-141-00051837";"CONFECCION INDUSTRIAL VETIVEN SL";"CONFECCION INDUSTRIAL VETIVEN, S.L.";"POL. IND. VALLE EZCABARTE,  NAVE L-22";"EZCABARTE";"Arre";"Navarra";"31194";"607975720";;"948199401";;"14.13";"Confección de otras prendas de vestir exteriores";;
"67";"A31271257";"15-A-141-00011465";"INES MULLIEZ CORELLA SAU";"INES MULLIEZ CORELLA SAU";"POL IND SN";"CORELLA";"Corella";"Navarra";"31591";"948401594";"calidad@ime-mulliez.es";;;"14.13";"Confección de otras prendas de vestir exteriores";;
"68";"B71011092";"15-A-141-00052760";"BORDADOS RONCAL SLU";"Bordados Roncal";"Industrial La Moyuela, Avda. los Fueros 59";"MONTEAGUDO";"Monteagudo";"Navarra";"31522";"948851466";"bordados@bordadosroncal.com";"948850322";;"14.13";"Confección de otras prendas de vestir exteriores";;
"69";"17132039Y";"15-A-141-00010242";"GONZALVO LARRODE BLAS FRANCISCO";"GONZALO LARRODE , BLAS FRANCIS";"TAFALLA 3";"CORELLA";"Corella";"Navarra";"31591";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"70";"A31459530";"15-A-141-00010090";"EMPRETEX SAL";"PHILIPPE LAPORTE S.L.";"CTRA CAMPANAS SN";"CIZUR";"Astráin";"Navarra";"31190";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"71";"A31115058";"15-A-141-00009466";"EUROVESTIR SA";"EUROVESTIR SA";"CTRA ZARAGOZA SN";"OLITE/ERRIBERRI";"Olite/Erriberri";"Navarra";"31390";;;;;"14.13";"Confección de otras prendas de vestir exteriores";;
"72";"F31595135";"15-A-141-00009825";"CONFECCIONES CHANTREALAN S.COOP.";"CONFECCIONES LA MOREA SL";"CILDOZ 2 BJ";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"73";"72612663F";"15-A-141-00011575";"GARCIA GARCIA VENTURA";"GARCIA GARCIA, VENTURA";"SAN FRANCISCO 1";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";;;;;"14.14";"Confección de ropa interior";;
"74";"E31485394";"15-A-141-00012309";"CERRO,GOMEZ,GONZALEZ,ITURBIDE,LANDA,ONECA, OYAREGUI,PINEDA,RUIZ,ZUBIRI";"EGUZKI S.I.";"AVDA. NAVARRA 4 TRAS.";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"948170185";;;;"14.14";"Confección de ropa interior";;
"75";"E31428683";"15-A-141-00012060";"NAHIA SI";"ABAIGAR AZPILICUETA Mª ISABEL Y 17 MAS";"VILLAFRANCA 3";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"76";"A31138357";"15-A-141-00004887";"MISS ELIET SA";"MISS ELIET SA";"AV MARCELO CELAYETA 102";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"77";"B31089071";"15-A-141-00011074";"CREACIONES SELENE SL";"CREACIONES SELENE S.L.";"PG IND MUGAZURI PARC A 1 BIS";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";"948136660";"anac@cselene.com";"948146148";;"14.14";"Confección de ropa interior";;
"78";"F31273055";"15-A-141-00011308";"CRISTAL 5 SOCIEDAD COOPERATIVA LIMITADA";"SOCIEDAD COOPERATIVA CRISTAL 5";"SAN BLAS 4 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"79";"B31265218";"15-A-141-00011496";"CONFECCIONES EZKABA SL";"CONFECCIONES EZKABA SL";"ALFONSO BEORLEGUI";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"80";"B31717531";"15-A-141-00014702";"MANUFACTURAS MONCAYO SL";"MANUFACTURAS MONCAYO, S.L.";"PG CAÑADA REAL DE IMAZ 5";"AYEGUI/AIEGI";"Ayegui/Aiegi";"Navarra";"31240";"948558201";;;;"14.14";"Confección de ropa interior";;
"81";"A31211915";"15-A-141-00011039";"ZEMBORAY Y CONFECCIONES SAL";"ZEMBORAY Y CONFECCIONES SAL";"AV RASCACIELOS 7";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"82";"15774599A";"15-A-141-00012030";"IRAGUI CIGANDA JULIA";"IRAGUI ZIGANDA JULIA";"DR LABAYEN 13 BAJERA";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.14";"Confección de ropa interior";;
"83";"B31693518";"15-A-141-00014354";"TEXTIL MURCHANTE SLL";"TEXTIL MURCHANTE, S.L.L.";"CT TEJERIAS NAVE 7";"MURCHANTE";"Murchante";"Navarra";"31521";"818900";;;;"14.19";"Confección de otras prendas de vestir y accesorios";;
"84";"34921943P";"15-A-141-00051417";"REY MORENO MIGUEL ANGEL";"DEL REY MORENO, MIGUEL ANGEL";"PG IND LA ALBERGUERIA PARC 3.2 ";"VIANA";"Viana";"Navarra";"31230";"941247264";;"941247264";;"14.19";"Confección de otras prendas de vestir y accesorios";;
"85";"B31198948";"15-A-141-00010494";"NAVARRA DE GENEROS DE PUNTO SL";"NAVARRA DE GENEROS DE PUNTO SL";"GAZTAMBIDE 14";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.19";"Confección de otras prendas de vestir y accesorios";;
"86";"F31145857";"15-A-141-00010027";"LORPEN SCL";"LORPEN SOCIEDAD COOPERATIVA";"CTRA ACCESO A ECHALAR";"ETXALAR";"Etxalar";"Navarra";"31760";"948635151";;;;"14.19";"Confección de otras prendas de vestir y accesorios";;
"87";"B31005259";"15-A-141-00000503";"CONFECCIONES LA INDUSTRIAL NAVARRA SL";"CONFECCIONES LA INDUSTRIA NAVARRA S A";"LEYRE 9";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"14.19";"Confección de otras prendas de vestir y accesorios";;
"88";"B31239098";"15-A-141-00011060";"TRANSFER-SPORT SL";"TRANSFER SPORT S.L.";"PG BERRIAINZ NAVE 54";"BERRIOZAR";"Berriozar";"Navarra";"31013";"948302465";;;;"14.19";"Confección de otras prendas de vestir y accesorios";;
"89";"B31285364";"15-A-152-00011866";"CALZADOS PIRINEO SL";"CALZADOS IRUÑA S.L.";"SAN JUAN 2";"EZCABARTE";"Orrio";"Navarra";"31194";;;;;"15.2";"Fabricación de calzado";;
"90";"B31130974";"15-A-152-00009684";"INDUSTRIAL NAVARRA DEL CALZADO SL";"INDUSTRIAL NAVARRA DEL CALZADO, SA";"BIDEBERRI, S/N";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"15.2";"Fabricación de calzado";;
"91";"B31246903";"15-A-152-00011311";"LEZAGAS SL";"LEZAGAS SL";"POLIG IND NOAIN ESQUIRO";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Elorz/Elortz";"Navarra";"31470";;;;;"15.2";"Fabricación de calzado";;
"92";"B26052803";"15-A-152-00011354";"TROQUELADOS Y APARADOS LOGROñESES SL";"TROQUELADOS Y APARADOS LOGROÑESES SL";"PG IND LA GRANJA PARCELA 14, NAVE 3";"VIANA";"Viana";"Navarra";"31178";;;;;"15.2";"Fabricación de calzado";;
"93";"B31588015";"15-A-152-00014110";"CALZADOS SPRINTER SL";"CALZADOS SPRINTER, S.L.";"CL PORVENIR 20-BAJO";"ANDOSILLA";"Andosilla";"Navarra";"31261";"948674709";;;;"15.2";"Fabricación de calzado";;
