"Fuel Type Code";"Station Name";"Street Address";"Intersection Directions";"City";"State";"ZIP";"Plus4";"Station Phone";"Status Code";"Expected Date";"Groups With Access Code";"Access Days Time";"Cards Accepted";"EV Level1 EVSE Num";"EV Level2 EVSE Num";"EV DC Fast Count";"EV Other Info";"EV Network";"EV Network Web";"Geocode Status";"Latitude";"Longitude";"Date Last Confirmed";"ID";"Updated At";"Owner Type Code";"Federal Agency ID";"Federal Agency Name";"Open Date";"EV Connector Types"
"ELEC";"Dune Deck - Tesla Destination";"379 Dune Rd";;"Westhampton Beach";"NY";"11978";;"631-998-0050  877-798-3752";"E";;"Public";;;;"2";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-9";"40.789476";"-72.662817";"10/06/2022";"115247";"2023-01-18 15:15:20";"P";;;"05/25/2018";"TESLA"
"ELEC";"Hyatt Place Malta";"20 State Farm Place";;"Ballston Spa";"NY";"12020";;"844-623-1001";"E";;"Public";"24 hours daily";"A CREDIT D M V";;"4";;;"LIVINGSTON";"https://www.solution.energy";"GPS";"42.96933";"-73.80448";"07/12/2022";"223259";"2023-02-14 15:54:11";"P";;;"04/04/2022";"J1772"
"ELEC";"Facilities Parking Lot";"North Lane";;"Schenectady";"NY";"12308";;"866-816-7584";"E";;"Public";;;;"4";;;"EV Connect";"http://evconnect.com/";"GPS";"42.818224";"-73.927289";"11/26/2023";"155030";"2023-11-26 01:04:09";;;;"04/02/2019";"J1772"
"ELEC";"WHITEFACE MT WHITEFACE 2";"Unnamed Road";;"Wilmington";"NY";"12997";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"44.359129";"-73.858775";"11/26/2023";"170743";"2023-11-26 00:35:25";;;;"01/01/2021";"J1772"
"ELEC";"Clemson Bros Brewery - Tesla Destination";"22 Cottage St";;"Middletown";"NY";"10940";;"845-775-4638  877-798-3752";"E";;"Public";;;;"3";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-9";"41.447217";"-74.415744";"10/06/2022";"114975";"2023-01-18 15:15:20";"P";;;"07/18/2018";"TESLA"
"ELEC";"92746 CHARGEPOINT 1";"301 E 66th St";;"New York";"NY";"10065";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"40.764935";"-73.96063";"11/26/2023";"225676";"2023-11-26 00:45:29";;;;"08/18/2022";"J1772"
"ELEC";"Exit 18 (New Paltz)";"NY State Thruway";;"New Paltz";"NY";"12561";;"866-816-7584";"E";;"Public";;;;"2";;;"EV Connect";"http://evconnect.com/";"GPS";"41.740234";"-74.062195";"11/26/2023";"167127";"2023-11-26 01:04:24";;;;"09/21/2020";"J1772"
"ELEC";"IAWWTF WWTF-CPF50-L";"525 3rd St";;"Ithaca";"NY";"14850";;"888-758-4389";"E";;"Public";"24 hours daily";;;"1";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.45042";"-76.50718";"11/26/2023";"227926";"2023-11-26 00:46:39";;;;"09/21/2022";"J1772"
"ELEC";"TSS ALBANY STATION 5 & 6";"2 Commerce Park Dr";;"Schenectady";"NY";"12309";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.83297";"-73.90387";"11/26/2023";"183226";"2023-11-26 00:26:53";;;;"01/27/2021";"J1772"
"ELEC";"OSSINING TOWN RYDER PARK";"Ryder Park 43 Morningside Drive";;"Ossining";"NY";"10562";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.166687";"-73.827925";"11/26/2023";"162295";"2023-11-26 00:16:49";;;;"06/12/2020";"J1772"
"ELEC";"RPI 1 RPI 1";"2 Colvin Cir";;"Troy";"NY";"12180";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.731386";"-73.669086";"11/26/2023";"162264";"2023-11-26 00:18:20";;;;"06/12/2020";"J1772"
"ELEC";"PICOTTE PARK PLACE 1";"1 Park Pl";;"Colonie";"NY";"12205";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.715828";"-73.81499";"11/26/2023";"204706";"2023-11-26 00:26:29";;;;"01/13/2022";"J1772"
"ELEC";"MONTY'S EVSE EVSE2";"555 Lake Shore Rd";;"Ingraham";"NY";"12992";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"44.81967";"-73.40078";"11/26/2023";"205255";"2023-11-26 00:41:24";;;;"01/25/2022";"J1772"
"ELEC";"ABELENORTHSIDE STATION 3";"1712 US-9";;"New York";"NY";"12065";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.864619";"-73.770335";"11/26/2023";"233117";"2023-11-26 00:25:21";;;;"10/08/2022";"J1772"
"ELEC";"MAGUIRE VW VW_408158_A";"370 Elmira Rd";;"Ithaca";"NY";"14850";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.422426";"-76.517437";"11/26/2023";"256948";"2023-11-26 00:07:51";;;;"03/24/2023";"J1772"
"ELEC";"TRICITYRENTALS PARK SOUTH";"17 New Scotland Av";;"Albany";"NY";"12208";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.654458";"-73.773464";"11/26/2023";"123416";"2023-11-26 00:23:07";;;;"05/30/2019";"J1772"
"ELEC";"TOWN OF FISHKIL STATION 1";"807 NY-52";;"Fishkill";"NY";"12524";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.526429";"-73.922451";"11/26/2023";"207591";"2023-11-26 00:41:47";;;;"03/04/2022";"J1772"
"ELEC";"BORO PARK BORO CHARGE 3";"4915 10th Ave";;"Borough Park";"NY";"11219";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"40.63851";"-73.998605";"11/26/2023";"206917";"2023-11-26 00:42:59";;;;"02/23/2022";"J1772"
"ELEC";"Hamilton College-Root Lot";"1340 Green Apple Way";;"Clinton";"NY";"13323";;"866-816-7584";"E";;"Public";;;;"2";;;"EV Connect";"http://evconnect.com/";"GPS";"43.04631";"-75.407758";"11/26/2023";"230897";"2023-11-26 01:04:35";;;;"09/30/2022";"J1772"
"ELEC";"MB HUNTINGTON MBH 1";"1103 E Jericho Turnpike";;"Huntington";"NY";"11743";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"40.834535";"-73.366886";"11/26/2023";"194097";"2023-11-26 00:39:00";;;;"08/19/2021";"J1772"
"ELEC";"SIENA COLLEGE LOT U EVSE 2";"34 Spring Street Rd";;"Albany";"NY";"12211";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.71577";"-73.7495";"11/26/2023";"194978";"2023-11-26 00:39:45";;;;"09/02/2021";"J1772"
"ELEC";"ERIE COUNTY STATION ONE";"6205 Main St";;"Buffalo";"NY";"14221";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.960476";"-78.720009";"11/26/2023";"170241";"2023-11-26 00:32:30";;;;"12/17/2020";"J1772"
"ELEC";"COLLEGIAN HOTEL COLLEGIAN 2:3";"1030 E Genesee St";;"Syracuse";"NY";"13210";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.04627";"-76.1352";"11/26/2023";"191389";"2023-11-26 00:38:14";;;;"06/23/2021";"J1772"
"ELEC";"ULSTER COUNTY HEALTH DEPT 1";"239 Golden Hill Dr";;"Kingston";"NY";"12401";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.91707";"-74.019002";"11/26/2023";"180102";"2023-11-26 00:15:46";;;;"01/27/2021";"J1772"
"ELEC";"Monroe Community College - Lot P";"1000 E Henrietta Rd";;"Rochester";"NY";"14623";;"585-292-2000";"E";;"Public - Credit card at all times";"24 hours daily";"A D Debit M V";;"2";;;"Non-Networked";;"GPS";"43.102332";"-77.608205";"09/14/2022";"226504";"2023-02-14 15:54:11";"P";;;"08/24/2022";"J1772"
"ELEC";"NOPPERS REPAIR NOPPERS EVSE1";"323 Columbia Turnpike";;"Rensselaer";"NY";"12144";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.612316";"-73.727394";"11/26/2023";"193248";"2023-11-26 00:38:34";;;;"07/28/2021";"J1772"
"ELEC";"BRITE LEFT";"7647 Co Rd 42";;"Victor";"NY";"14564";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.006385";"-77.457446";"11/26/2023";"311110";"2023-11-26 00:53:50";;;;"09/20/2023";"J1772"
"ELEC";"233 LAKE AVE GROVE 1.4";"233 Lake Ave";;"Saratoga Springs";"NY";"12866";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.085667";"-73.7656";"11/26/2023";"182059";"2023-11-26 00:35:02";;;;"01/27/2021";"J1772"
"ELEC";"MONROE COUNTY CITYPL E1";"121 Fitzhugh St N";;"Rochester";"NY";"14614";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.15593";"-77.615133";"11/26/2023";"259345";"2023-11-26 00:50:43";;;;"04/14/2023";"J1772"
"ELEC";"LIVEWELL GROUP 2490 POND VIEW";"2581-2575 Pond View";;"Castleton-on-Hudson";"NY";"12033";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.583511";"-73.671522";"11/26/2023";"190838";"2023-11-26 00:37:16";;;;"06/09/2021";"J1772"
"ELEC";"Quik Park 311 West Broadway LLC - Tesla Destination";"311 W Broadway";;"New York";"NY";"10013";;"212-925-2539  877-798-3752";"E";;"Public";;;;"2";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-9";"40.721801";"-74.004237";"10/06/2022";"115091";"2023-01-18 15:15:20";"P";;;"03/10/2016";"TESLA"
"ELEC";"STRONG MUSEUM STRONG L1 #2";"1 Manhattan Square Dr";;"Rochester";"NY";"14607";;"888-758-4389";"E";;"Public";"Mon 8:00am - 5:00pm: Tue 8:00am - 5:00pm: Wed 8:00am - 5:00pm: Thu 8:00am - 5:00pm: Fri 8:00am - 8:00pm: Sat 8:00am - 8:00pm: Sun 8:00am - 5:00pm";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.152099";"-77.600934";"11/26/2023";"174553";"2023-11-26 00:25:56";;;;"01/27/2021";"J1772"
"ELEC";"ROCHESTER NY ROC CITY HALL1";"30 Church St";;"Rochester";"NY";"14614";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.156992";"-77.614895";"11/26/2023";"162173";"2023-11-26 00:19:48";;;;"06/12/2020";"J1772"
"ELEC";"The Wick Hotel - Tesla Destination";"41 Cross St";;"Hudson";"NY";"12534";;"833-843-9425  877-798-3752";"E";;"Public";;;;"3";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-9";"42.253092";"-73.795964";"10/06/2022";"114956";"2023-01-18 15:15:20";"P";;;"12/08/2017";"J1772 TESLA"
"ELEC";"Cambria Niagara Falls.";"333 Rainbow Boulevard";;"Niagara Falls";"NY";"14303";;"888-998-2546";"E";;"Public";"24 hours daily";;;"4";;;"Blink Network";"http://www.blinkcharging.com/";"GPS";"43.083013";"-79.057885";"11/26/2023";"311686";"2023-11-26 00:01:42";;;;"06/26/2023";"J1772"
"ELEC";"RTS STJFISHER 2";"Fairport Park & Ride State Route 31F";;"Pittsford";"NY";"14618";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.11203";"-77.50804";"11/26/2023";"181670";"2023-11-26 00:33:29";;;;"01/27/2021";"J1772"
"ELEC";"KINGSTON PRINCE STREET";"476 Broadway";;"Kingston";"NY";"12401";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.927624";"-73.99882";"11/26/2023";"260118";"2023-11-26 00:51:01";;;;"04/29/2023";"J1772"
"ELEC";"1-4 STATION 5";"103 Broad St";;"Waterford";"NY";"12188";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.79112";"-73.67978";"11/26/2023";"238529";"2023-11-26 00:48:41";;;;"12/21/2022";"J1772"
"ELEC";"South Port Shopping Center - Tesla Supercharger";"999 Montauk Highway";;"Shirley";"NY";"11967";;"877-798-3752";"E";;"Public";"24 hours daily";"A D Debit M V";;;"12";;"Tesla";"https://www.tesla.com/supercharger";"GPS";"40.80588";"-72.85978";"07/01/2023";"214708";"2023-07-14 19:41:28";"P";;;"04/17/2022";"J1772COMBO TESLA"
"ELEC";"TPWC TPCW 7";"2594 Western Av";;"Altamont";"NY";"12009";;"888-758-4389";"E";;"Public";"24 hours daily";;;"1";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.713851";"-73.935606";"11/26/2023";"227768";"2023-11-26 00:39:22";;;;"09/17/2022";"J1772"
"ELEC";"FAYETTEVILLE FAYETTEVILLE";"205 Brooklea Dr";;"Fayetteville";"NY";"13066";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.031004";"-76.01247";"11/26/2023";"162361";"2023-11-26 00:15:24";;;;"06/12/2020";"J1772"
"ELEC";"ULSTER COUNTY COURTHOUSE 2";"28-40 Crown St";;"Kingston";"NY";"12401";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.932871";"-74.020585";"11/26/2023";"147634";"2023-11-26 00:26:28";;;;"11/09/2019";"J1772"
"ELEC";"LAZ Parking 133-59 Roosevelt Ave - Tesla Destination";"133-59 Roosevelt Ave";;"Flushing";"NY";"11354";;"718-888-1234  877-798-3752";"E";;"Public";;;;"4";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-8";"40.758956";"-73.832331";"10/06/2022";"150578";"2023-01-18 15:15:20";"P";;;"03/31/2019";"TESLA"
"ELEC";"Village Dodge Inc";"819 NY-66";;"Hudson";"NY";"12534";;"518-828-1585";"E";;"Public - Call ahead";"24 hours daily";"A D Debit M V";;"1";;;"Non-Networked";;"GPS";"42.27253";"-73.722516";"10/11/2022";"229076";"2023-02-14 15:54:11";"P";;;"09/17/2022";"J1772"
"ELEC";"AAA WESTCENTRAL AAA L2 2";"100 International Drive";;"Amherst";"NY";"14221";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.978251";"-78.730056";"11/26/2023";"261207";"2023-11-26 00:50:45";;;;"05/23/2023";"J1772"
"ELEC";"SWTCH Energy";"25 Forest Dr";;"Garnerville";"NY";"10923";;"844-798-2438";"E";;"Public";"24 hours daily";"A D Debit M V";;"4";;;"SWTCH";"https://swtchenergy.com/";"GPS";"41.193673";"-74.010766";"11/09/2023";"313647";"2023-11-09 18:35:57";"P";;;"08/23/2023";"J1772"
"ELEC";"Sylvan Pinnacle Garage - Tesla Destination";"112-01 Queens Blvd";;"Forest Hills";"NY";"11375";;"718-520-1403  877-798-3752";"E";;"Public";;;;"4";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-9";"40.718526";"-73.83648";"10/06/2022";"114940";"2023-01-18 15:15:20";"P";;;"07/17/2018";"TESLA"
"ELEC";"Hilton Garden Inn Watertown - Tesla Destination";"1290 Arsenal St";;"Watertown";"NY";"13601";;"315-788-1234  877-798-3752";"E";;"Public";;;;"2";;;"Tesla Destination";"https://www.tesla.com/destination-charging";"200-8";"43.979571";"-75.946973";"10/06/2022";"115246";"2023-01-18 15:15:20";"P";;;"05/17/2016";"J1772 TESLA"
"ELEC";"MUNICIPAL EVSE MURRAY STREET";"39 Murray St";;"Glens Falls";"NY";"12801";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"43.303196";"-73.64867";"11/26/2023";"155245";"2023-11-26 00:30:01";;;;"04/08/2020";"J1772"
"ELEC";"Country Pointe Plainview - Tesla Supercharger";"1427 Old Country Road";;"Plainview";"NY";"11803";;"877-798-3752";"E";;"Public";"24 hours daily";;;;"8";;"Tesla";"https://www.tesla.com/supercharger";"200-8";"40.779854";"-73.450709";"07/01/2023";"102339";"2023-07-14 19:41:28";"P";;;"07/23/2018";"TESLA"
"ELEC";"CMH STATION 5";"67 Prospect Ave";;"Hudson";"NY";"12534";;"888-758-4389";"E";;"Public";"24 hours daily";;;"2";;;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"42.24659";"-73.7787";"11/26/2023";"220317";"2023-11-26 00:43:00";;;;"05/28/2022";"J1772"
"ELEC";"MBOC WAY DC250 1";"1 Mercedes Way";;"Woodbury";"NY";"10926";;"888-758-4389";"E";;"Public";"24 hours daily";;;;"1";;"ChargePoint Network";"http://www.chargepoint.com/";"GPS";"41.316275";"-74.142409";"11/26/2023";"258981";"2023-11-26 00:41:13";;;;"04/12/2023";"CHADEMO J1772COMBO"
"ELEC";"Exit 34 (Canastota)";"Unnamed Road";;"Canastota";"NY";"13032";;"866-816-7584";"E";;"Public";;;;"2";;;"EV Connect";"http://evconnect.com/";"GPS";"43.088842";"-75.749911";"11/26/2023";"187172";"2023-11-26 01:04:28";;;;"03/22/2021";"J1772"
